Script started on Thu 03 Nov 2016 06:17:46 PM CET
P8_38 pinmux file not found!
sudo: no askpass program specified, try setting SUDO_ASKPASS
Cannot write pinmux file: /sys/devices/platform/ocp/ocp*P8_38_pinmux/state
P8_37 pinmux file not found!
sudo: no askpass program specified, try setting SUDO_ASKPASS
Cannot write pinmux file: /sys/devices/platform/ocp/ocp*P8_37_pinmux/state
Pin configuration complete
(chalmersbike) ]0;debian@beaglebone: ~/chalmersbike[01;32mdebian@beaglebone[00m:[01;34m~/chalmersbike[00m$ python testing/steering_motor/SteeringMotorTestLukas.py 
Input a velocity between 0 and 10 deg/s 2
tdelta = 0.000000
Enter the desired self.angle! The test will start afterwards! -10
Time=0.000376,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.979535,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.987951,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=0.999836,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.015678,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.025980,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.041480,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.057307,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.065789,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.080167,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.093464,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.105691,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.121047,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.134254,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.150123,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.161651,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.170636,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.180212,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.192035,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.200865,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.208621,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.220302,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.230491,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.239900,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.250279,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.260271,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.266746,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.276788,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.285387,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.294549,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.303450,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.310852,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.319846,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.330468,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.339466,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.348775,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.357873,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.367164,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.375801,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.384840,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.393326,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.401949,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.412518,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.419468,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.430118,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.439965,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.448220,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.455967,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.464208,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.470273,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.478633,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.486383,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.495759,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.504486,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.512453,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.518643,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.527305,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.536446,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.546661,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.557179,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.566802,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.575285,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.583551,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.593555,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.603628,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.613044,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.618431,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.629628,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.638131,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.647764,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.656967,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.666181,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.675292,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.683648,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.692925,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.703426,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.713033,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.723571,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.731342,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.740725,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.750260,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.760962,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.769205,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.778350,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.789039,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.797815,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.807529,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.817502,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.826416,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.837318,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.847479,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.856265,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.865792,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.874800,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.883466,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.893635,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.903804,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.913183,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.922207,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.928897,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.937804,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.947388,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.956326,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.965827,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.974412,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.982195,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=1.995615,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.004937,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.014587,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.025345,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.036800,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.048662,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.056632,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.064956,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.076671,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.084020,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.093128,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.103163,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.112497,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.121870,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.129061,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.139024,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.149897,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.160608,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.169420,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.177841,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.187273,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.197686,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.207761,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.217025,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.225538,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.233257,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.243083,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.254065,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.262003,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.272603,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.281670,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.290261,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.300088,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.308741,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.318431,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.326205,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.336451,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.345642,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.355435,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.364189,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.373252,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.382458,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.391798,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.400185,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.410579,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.421551,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.430557,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.437428,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.447886,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
Time=2.458350,	 tdelta = 0.000000,	 Angular Velocity = 1.999992	
^CTraceback (most recent call last):
  File "testing/steering_motor/SteeringMotorTestLukas.py", line 98, in <module>
    test = Test()
  File "testing/steering_motor/SteeringMotorTestLukas.py", line 94, in __init__
    self.steering_motor_drive.set_angular_velocity(0)
  File "/home/debian/chalmersbike/testing/steering_motor/../../actuators/steeringMotor.py", line 40, in set_angular_velocity
    self.set_PWM_duty_cycle(duty_cycle)
  File "/home/debian/chalmersbike/testing/steering_motor/../../actuators/steeringMotor.py", line 31, in set_PWM_duty_cycle
    PWM.set_duty_cycle(steeringMotor_Channel, duty_cycle)
RuntimeError: You must start() the PWM channel first
(chalmersbike) ]0;debian@beaglebone: ~/chalmersbike[01;32mdebian@beaglebone[00m:[01;34m~/chalmersbike[00m$ ^C
(chalmersbike) ]0;debian@beaglebone: ~/chalmersbike[01;32mdebian@beaglebone[00m:[01;34m~/chalmersbike[00m$ python testing/steering_motor/SteeringMotorTestLukas.py 
Input a velocity between 0 and 10 deg/s 10
tdelta = 0.000000
Enter the desired self.angle! The test will start afterwards! -10
Time=0.000380,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.010721,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.019750,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.029633,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.039441,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.048661,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.057578,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.066854,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.076235,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.085076,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.094300,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.103316,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.112648,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.122184,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.129815,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.140549,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.150208,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.160217,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.171366,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.180430,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.189165,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.198530,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.208753,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.216421,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.226616,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.233287,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.243344,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.251409,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.257621,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.263034,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.268066,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.274168,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.280679,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.285787,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.291050,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.296069,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.300995,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.306178,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.311201,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.316373,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.321334,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.326544,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.337196,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.347626,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.357045,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.367016,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.375274,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.386373,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.393507,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.403504,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.413000,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.422363,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.430916,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.438732,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.447485,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.458178,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.467989,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.478439,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.488222,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.495484,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.506166,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.514953,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.524152,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.532269,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.540959,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.551152,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.560861,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.570900,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.581202,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.589310,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.597835,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.608817,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.617674,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.626323,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.636560,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.647550,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.657444,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.668334,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.677800,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.688109,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.699711,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.714095,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.728257,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
Time=0.741108,	 tdelta = 0.000000,	 Angular Velocity = 9.999960	
